,Cancer,Year,Sex,State,Incident,Incident _Crude_rate_100k,Mortality,Mortality_Crude_rate_100k,Gender,Population
0,Melanoma of the skin,2007,Males,NSW,"2,126",62.8,339,10.0,Male,3413653
1,Melanoma of the skin,2007,Males,Vic,"1,188",46.6,182,7.1,Male,2574619
2,Melanoma of the skin,2007,Males,Qld,"1,591",77.5,211,10.3,Male,2076128
3,Melanoma of the skin,2007,Males,WA,575,54.2,88,8.3,Male,1075987
4,Melanoma of the skin,2007,Males,SA,342,44.1,55,7.1,Male,779355
5,Melanoma of the skin,2007,Males,Tas,127,52.1,12,4.9,Male,245319
6,Melanoma of the skin,2007,Males,ACT,72,44.0,14,8.3,Male,170383
7,Melanoma of the skin,2007,Males,NT,30,27.7,3,n.p.,Male,112777
8,Melanoma of the skin,2007,Males,Australia,"6,034",58.3,909,8.8,Male,10449776
9,Melanoma of the skin,2007,Females,NSW,"1,420",41.2,138,4.0,Female,3470199
10,Melanoma of the skin,2007,Females,Vic,986,37.9,95,3.7,Female,2624884
11,Melanoma of the skin,2007,Females,Qld,"1,125",54.6,90,4.4,Female,2083862
12,Melanoma of the skin,2007,Females,WA,412,39.4,36,3.4,Female,1059019
13,Melanoma of the skin,2007,Females,SA,279,35.1,34,4.3,Female,799134
14,Melanoma of the skin,2007,Females,Tas,109,43.7,4,n.p.,Female,250539
15,Melanoma of the skin,2007,Females,ACT,59,35.0,4,n.p.,Female,173793
16,Melanoma of the skin,2007,Females,NT,20,20.6,1,n.p.,Female,103841
17,Melanoma of the skin,2007,Females,Australia,"4,400",42.0,400,3.8,Female,10566345
18,Melanoma of the skin,2007,Persons,NSW,"3,546",51.9,477,7.0,Person,6883852
19,Melanoma of the skin,2007,Persons,Vic,"2,174",42.2,277,5.4,Person,5199503
20,Melanoma of the skin,2007,Persons,Qld,"2,716",66.1,301,7.3,Person,4159990
21,Melanoma of the skin,2007,Persons,WA,987,46.9,124,5.9,Person,2135006
22,Melanoma of the skin,2007,Persons,SA,621,39.5,89,5.7,Person,1578489
23,Melanoma of the skin,2007,Persons,Tas,236,47.8,16,3.2,Person,495858
24,Melanoma of the skin,2007,Persons,ACT,131,39.4,18,5.3,Person,344176
25,Melanoma of the skin,2007,Persons,NT,50,24.3,4,n.p.,Person,216618
26,Melanoma of the skin,2007,Persons,Australia,"10,434",50.1,"1,309",6.3,Person,21016121
27,Melanoma of the skin,2008,Males,NSW,"2,155",62.6,347,10.1,Male,3476199
28,Melanoma of the skin,2008,Males,Vic,"1,247",47.9,187,7.2,Male,2633317
29,Melanoma of the skin,2008,Males,Qld,"1,776",84.3,213,10.1,Male,2135996
30,Melanoma of the skin,2008,Males,WA,658,60.1,93,8.5,Male,1113633
31,Melanoma of the skin,2008,Males,SA,413,52.6,78,9.9,Male,789696
32,Melanoma of the skin,2008,Males,Tas,163,66.0,27,10.9,Male,248714
33,Melanoma of the skin,2008,Males,ACT,76,45.7,14,8.1,Male,174242
34,Melanoma of the skin,2008,Males,NT,29,26.5,3,n.p.,Male,116223
35,Melanoma of the skin,2008,Males,Australia,"6,529",61.8,959,9.1,Male,10689738
36,Melanoma of the skin,2008,Females,NSW,"1,489",42.6,150,4.3,Female,3525583
37,Melanoma of the skin,2008,Females,Vic,982,37.0,89,3.4,Female,2679968
38,Melanoma of the skin,2008,Females,Qld,"1,193",56.5,95,4.5,Female,2139555
39,Melanoma of the skin,2008,Females,WA,425,39.5,30,2.8,Female,1095295
40,Melanoma of the skin,2008,Females,SA,325,40.4,38,4.7,Female,808184
41,Melanoma of the skin,2008,Females,Tas,114,45.3,13,5.2,Female,253060
42,Melanoma of the skin,2008,Females,ACT,62,36.6,5,2.7,Female,176859
43,Melanoma of the skin,2008,Females,NT,20,19.6,1,n.p.,Female,106303
44,Melanoma of the skin,2008,Females,Australia,"4,606",43.1,424,4.0,Female,10785887
45,Melanoma of the skin,2008,Persons,NSW,"3,644",52.5,497,7.2,Person,7001782
46,Melanoma of the skin,2008,Persons,Vic,"2,229",42.4,276,5.3,Person,5313285
47,Melanoma of the skin,2008,Persons,Qld,"2,969",70.4,308,7.3,Person,4275551
48,Melanoma of the skin,2008,Persons,WA,"1,083",49.9,123,5.7,Person,2208928
49,Melanoma of the skin,2008,Persons,SA,738,46.5,116,7.3,Person,1597880
50,Melanoma of the skin,2008,Persons,Tas,277,55.6,40,8.0,Person,501774
51,Melanoma of the skin,2008,Persons,ACT,139,41.1,18,5.4,Person,351101
52,Melanoma of the skin,2008,Persons,NT,49,23.2,4,n.p.,Person,222526
53,Melanoma of the skin,2008,Persons,Australia,"11,135",52.4,"1,383",6.5,Person,21475625
54,Melanoma of the skin,2009,Males,NSW,"2,190",62.5,353,10.1,Male,3526643
55,Melanoma of the skin,2009,Males,Vic,"1,332",50.0,218,8.2,Male,2686022
56,Melanoma of the skin,2009,Males,Qld,"1,787",82.6,198,9.2,Male,2181500
57,Melanoma of the skin,2009,Males,WA,637,56.4,90,8.0,Male,1140480
58,Melanoma of the skin,2009,Males,SA,381,47.9,64,8.0,Male,800926
59,Melanoma of the skin,2009,Males,Tas,159,63.5,18,7.2,Male,251434
60,Melanoma of the skin,2009,Males,ACT,77,45.5,14,8.0,Male,177822
61,Melanoma of the skin,2009,Males,NT,30,26.6,3,n.p.,Male,119297
62,Melanoma of the skin,2009,Males,Australia,"6,598",61.1,956,8.9,Male,10886022
63,Melanoma of the skin,2009,Females,NSW,"1,534",43.2,170,4.8,Female,3574861
64,Melanoma of the skin,2009,Females,Vic,"1,048",38.7,95,3.5,Female,2733227
65,Melanoma of the skin,2009,Females,Qld,"1,264",58.4,92,4.2,Female,2185954
66,Melanoma of the skin,2009,Females,WA,399,35.9,47,4.2,Female,1123267
67,Melanoma of the skin,2009,Females,SA,289,35.5,26,3.2,Female,817652
68,Melanoma of the skin,2009,Females,Tas,115,45.3,16,6.3,Female,255027
69,Melanoma of the skin,2009,Females,ACT,57,33.2,6,3.2,Female,180037
70,Melanoma of the skin,2009,Females,NT,20,19.6,1,n.p.,Female,108486
71,Melanoma of the skin,2009,Females,Australia,"4,708",43.2,454,4.2,Female,10979601
72,Melanoma of the skin,2009,Persons,NSW,"3,724",52.8,523,7.4,Person,7101504
73,Melanoma of the skin,2009,Persons,Vic,"2,380",44.3,313,5.8,Person,5419249
74,Melanoma of the skin,2009,Persons,Qld,"3,051",70.5,290,6.7,Person,4367454
75,Melanoma of the skin,2009,Persons,WA,"1,036",46.2,137,6.1,Person,2263747
76,Melanoma of the skin,2009,Persons,SA,670,41.6,90,5.6,Person,1618578
77,Melanoma of the skin,2009,Persons,Tas,274,54.3,34,6.7,Person,506461
78,Melanoma of the skin,2009,Persons,ACT,135,39.3,19,5.6,Person,357859
79,Melanoma of the skin,2009,Persons,NT,50,23.3,4,n.p.,Person,227783
80,Melanoma of the skin,2009,Persons,Australia,"11,306",52.1,"1,410",6.5,Person,21865623
81,Melanoma of the skin,2010,Males,NSW,"2,336",65.8,370,10.4,Male,3565558
82,Melanoma of the skin,2010,Males,Vic,"1,304",48.2,202,7.5,Male,2720959
83,Melanoma of the skin,2010,Males,Qld,"1,842",83.7,232,10.5,Male,2214429
84,Melanoma of the skin,2010,Males,WA,646,56.0,88,7.6,Male,1167862
85,Melanoma of the skin,2010,Males,SA,386,47.9,67,8.3,Male,808037
86,Melanoma of the skin,2010,Males,Tas,158,62.5,20,7.9,Male,253833
87,Melanoma of the skin,2010,Males,ACT,74,43.0,14,7.9,Male,181314
88,Melanoma of the skin,2010,Males,NT,32,27.7,4,n.p.,Male,120979
89,Melanoma of the skin,2010,Males,Australia,"6,796",62.0,995,9.1,Male,11034979
90,Melanoma of the skin,2010,Females,NSW,"1,563",43.5,144,4.0,Female,3614333
91,Melanoma of the skin,2010,Females,Vic,971,35.2,92,3.3,Female,2774752
92,Melanoma of the skin,2010,Females,Qld,"1,268",57.5,118,5.4,Female,2222453
93,Melanoma of the skin,2010,Females,WA,388,34.1,37,3.3,Female,1151201
94,Melanoma of the skin,2010,Females,SA,311,37.8,18,2.2,Female,824445
95,Melanoma of the skin,2010,Females,Tas,134,52.4,10,3.9,Female,256386
96,Melanoma of the skin,2010,Females,ACT,50,28.5,5,3.1,Female,183519
97,Melanoma of the skin,2010,Females,NT,21,20.2,1,n.p.,Female,109534
98,Melanoma of the skin,2010,Females,Australia,"4,703",42.5,423,3.8,Female,11137490
99,Melanoma of the skin,2010,Persons,NSW,"3,899",54.6,514,7.2,Person,7179891
100,Melanoma of the skin,2010,Persons,Vic,"2,275",41.7,294,5.4,Person,5495711
101,Melanoma of the skin,2010,Persons,Qld,"3,110",70.6,350,7.9,Person,4436882
102,Melanoma of the skin,2010,Persons,WA,"1,034",45.1,125,5.5,Person,2319063
103,Melanoma of the skin,2010,Persons,SA,697,42.8,85,5.2,Person,1632482
104,Melanoma of the skin,2010,Persons,Tas,292,57.4,30,5.9,Person,510219
105,Melanoma of the skin,2010,Persons,ACT,124,35.7,19,5.5,Person,364833
106,Melanoma of the skin,2010,Persons,NT,53,24.1,5,2.2,Person,230460
107,Melanoma of the skin,2010,Persons,Australia,"11,499",52.2,"1,418",6.4,Person,22172469
108,Melanoma of the skin,2011,Males,NSW,"2,399",66.9,366,10.2,Male,3604198
109,Melanoma of the skin,2011,Males,Vic,"1,172",42.8,217,7.9,Male,2766513
110,Melanoma of the skin,2011,Males,Qld,"1,924",86.1,247,11.1,Male,2253923
111,Melanoma of the skin,2011,Males,WA,665,56.1,135,11.4,Male,1202068
112,Melanoma of the skin,2011,Males,SA,404,49.8,73,9.0,Male,815608
113,Melanoma of the skin,2011,Males,Tas,131,51.4,27,10.6,Male,254896
114,Melanoma of the skin,2011,Males,ACT,76,43.0,12,7.0,Male,184982
115,Melanoma of the skin,2011,Males,NT,33,28.0,3,n.p.,Male,122136
116,Melanoma of the skin,2011,Males,Australia,"6,800",61.2,"1,076",9.7,Male,11206252
117,Melanoma of the skin,2011,Females,NSW,"1,616",44.5,153,4.2,Female,3654524
118,Melanoma of the skin,2011,Females,Vic,900,32.2,107,3.8,Female,2825305
119,Melanoma of the skin,2011,Females,Qld,"1,379",61.5,96,4.3,Female,2264726
120,Melanoma of the skin,2011,Females,WA,449,38.4,46,3.9,Female,1183879
121,Melanoma of the skin,2011,Females,SA,287,34.7,26,3.1,Female,831575
122,Melanoma of the skin,2011,Females,Tas,129,50.3,16,6.2,Female,256984
123,Melanoma of the skin,2011,Females,ACT,48,27.0,5,2.8,Female,187088
124,Melanoma of the skin,2011,Females,NT,22,20.4,2,n.p.,Female,110816
125,Melanoma of the skin,2011,Females,Australia,"4,837",43.1,453,4.0,Female,11315945
126,Melanoma of the skin,2011,Persons,NSW,"4,015",55.6,519,7.2,Person,7258722
127,Melanoma of the skin,2011,Persons,Vic,"2,072",37.4,324,5.9,Person,5591818
128,Melanoma of the skin,2011,Persons,Qld,"3,303",73.8,343,7.7,Person,4518649
129,Melanoma of the skin,2011,Persons,WA,"1,114",47.3,181,7.7,Person,2385947
130,Melanoma of the skin,2011,Persons,SA,691,42.1,99,6.0,Person,1647183
131,Melanoma of the skin,2011,Persons,Tas,260,50.8,43,8.4,Person,511880
132,Melanoma of the skin,2011,Persons,ACT,124,34.9,17,4.9,Person,372070
133,Melanoma of the skin,2011,Persons,NT,55,24.4,5,2.1,Person,232952
134,Melanoma of the skin,2011,Persons,Australia,"11,637",52.1,"1,529",6.8,Person,22522197
135,Melanoma of the skin,2012,Males,NSW,"2,490",68.7,368,10.1,Male,3650035
136,Melanoma of the skin,2012,Males,Vic,"1,292",46.2,210,7.5,Male,2825349
137,Melanoma of the skin,2012,Males,Qld,"2,014",88.4,231,10.1,Male,2299776
138,Melanoma of the skin,2012,Males,WA,694,56.7,112,9.2,Male,1239615
139,Melanoma of the skin,2012,Males,SA,393,47.9,64,7.8,Male,823688
140,Melanoma of the skin,2012,Males,Tas,146,57.3,28,11.0,Male,254866
141,Melanoma of the skin,2012,Males,ACT,79,43.8,12,6.6,Male,188673
142,Melanoma of the skin,2012,Males,NT,37,31.1,5,3.8,Male,125043
143,Melanoma of the skin,2012,Males,Australia,"7,152",63.2,"1,039",9.2,Male,11408788
144,Melanoma of the skin,2012,Females,NSW,"1,699",46.2,177,4.8,Female,3703154
145,Melanoma of the skin,2012,Females,Vic,988,34.6,104,3.6,Female,2884237
146,Melanoma of the skin,2012,Females,Qld,"1,430",62.4,105,4.6,Female,2311528
147,Melanoma of the skin,2012,Females,WA,451,37.5,39,3.2,Female,1217874
148,Melanoma of the skin,2012,Females,SA,302,36.1,37,4.4,Female,839394
149,Melanoma of the skin,2012,Females,Tas,109,42.4,21,8.2,Female,257127
150,Melanoma of the skin,2012,Females,ACT,54,29.4,6,3.3,Female,191139
151,Melanoma of the skin,2012,Females,NT,23,21.1,1,n.p.,Female,113685
152,Melanoma of the skin,2012,Females,Australia,"5,081",44.5,490,4.3,Female,11519235
153,Melanoma of the skin,2012,Persons,NSW,"4,189",57.4,545,7.5,Person,7353189
154,Melanoma of the skin,2012,Persons,Vic,"2,280",40.3,314,5.6,Person,5709586
155,Melanoma of the skin,2012,Persons,Qld,"3,444",75.4,336,7.4,Person,4611304
156,Melanoma of the skin,2012,Persons,WA,"1,145",47.2,151,6.2,Person,2457489
157,Melanoma of the skin,2012,Persons,SA,695,42.0,101,6.1,Person,1663082
158,Melanoma of the skin,2012,Persons,Tas,255,49.8,49,9.6,Person,511993
159,Melanoma of the skin,2012,Persons,ACT,132,36.6,18,4.9,Person,379812
160,Melanoma of the skin,2012,Persons,NT,60,26.3,6,2.6,Person,238728
161,Melanoma of the skin,2012,Persons,Australia,"12,233",53.8,"1,529",6.7,Person,22928023
162,Melanoma of the skin,2013,Males,NSW,"2,540",69.1,398,10.8,Male,3698220
163,Melanoma of the skin,2013,Males,Vic,"1,330",46.6,249,8.7,Male,2884387
164,Melanoma of the skin,2013,Males,Qld,"2,163",93.3,313,13.5,Male,2333762
165,Melanoma of the skin,2013,Males,WA,780,62.2,109,8.7,Male,1259941
166,Melanoma of the skin,2013,Males,SA,437,52.8,70,8.5,Male,830900
167,Melanoma of the skin,2013,Males,Tas,139,54.6,21,8.2,Male,254878
168,Melanoma of the skin,2013,Males,ACT,81,44.0,12,6.4,Male,191691
169,Melanoma of the skin,2013,Males,NT,39,31.8,5,4.3,Male,126921
170,Melanoma of the skin,2013,Males,Australia,"7,523",65.4,"1,177",10.2,Male,11582448
171,Melanoma of the skin,2013,Females,NSW,"1,767",47.4,155,4.2,Female,3756718
172,Melanoma of the skin,2013,Females,Vic,"1,002",34.4,118,4.0,Female,2948198
173,Melanoma of the skin,2013,Females,Qld,"1,530",65.6,110,4.7,Female,2351677
174,Melanoma of the skin,2013,Females,WA,532,43.2,51,4.1,Female,1242247
175,Melanoma of the skin,2013,Females,SA,284,33.7,36,4.3,Female,847152
176,Melanoma of the skin,2013,Females,Tas,136,52.8,12,4.7,Female,258137
177,Melanoma of the skin,2013,Females,ACT,54,29.2,5,2.9,Female,194627
178,Melanoma of the skin,2013,Females,NT,24,22.0,2,n.p.,Female,115450
179,Melanoma of the skin,2013,Females,Australia,"5,339",45.9,489,4.2,Female,11715329
180,Melanoma of the skin,2013,Persons,NSW,"4,307",58.2,553,7.5,Person,7454938
181,Melanoma of the skin,2013,Persons,Vic,"2,332",40.4,367,6.4,Person,5832585
182,Melanoma of the skin,2013,Persons,Qld,"3,693",79.4,423,9.1,Person,4685439
183,Melanoma of the skin,2013,Persons,WA,"1,312",52.8,160,6.4,Person,2502188
184,Melanoma of the skin,2013,Persons,SA,721,43.1,106,6.3,Person,1678052
185,Melanoma of the skin,2013,Persons,Tas,275,53.7,33,6.4,Person,513015
186,Melanoma of the skin,2013,Persons,ACT,135,36.5,17,4.7,Person,386318
187,Melanoma of the skin,2013,Persons,NT,63,27.1,7,2.9,Person,242304
188,Melanoma of the skin,2013,Persons,Australia,"12,862",55.6,"1,666",7.2,Person,23297777
189,Melanoma of the skin,2014,Males,NSW,"2,558",68.7,336,9.0,Male,3750061
190,Melanoma of the skin,2014,Males,Vic,"1,402",48.1,190,6.5,Male,2945763
191,Melanoma of the skin,2014,Males,Qld,"2,199",93.6,250,10.6,Male,2361282
192,Melanoma of the skin,2014,Males,WA,770,60.8,103,8.1,Male,1271552
193,Melanoma of the skin,2014,Males,SA,478,57.2,90,10.8,Male,838094
194,Melanoma of the skin,2014,Males,Tas,163,63.9,23,9.0,Male,255134
195,Melanoma of the skin,2014,Males,ACT,81,43.5,11,5.8,Male,194291
196,Melanoma of the skin,2014,Males,NT,43,34.4,6,4.5,Male,127079
197,Melanoma of the skin,2014,Males,Australia,"7,705",66.0,"1,004",8.6,Male,11744498
198,Melanoma of the skin,2014,Females,NSW,"1,797",47.5,165,4.4,Female,3812110
199,Melanoma of the skin,2014,Females,Vic,"1,064",35.7,88,3.0,Female,3011749
200,Melanoma of the skin,2014,Females,Qld,"1,507",63.6,102,4.3,Female,2385981
201,Melanoma of the skin,2014,Females,WA,530,42.4,49,3.9,Female,1257067
202,Melanoma of the skin,2014,Females,SA,310,36.4,33,3.9,Female,855013
203,Melanoma of the skin,2014,Females,Tas,169,65.3,14,5.4,Female,259067
204,Melanoma of the skin,2014,Females,ACT,63,33.3,5,2.8,Female,197690
205,Melanoma of the skin,2014,Females,NT,25,22.2,2,n.p.,Female,116165
206,Melanoma of the skin,2014,Females,Australia,"5,483",46.4,461,3.9,Female,11895833
207,Melanoma of the skin,2014,Persons,NSW,"4,355",58.0,501,6.7,Person,7562171
208,Melanoma of the skin,2014,Persons,Vic,"2,466",41.8,278,4.7,Person,5957512
209,Melanoma of the skin,2014,Persons,Qld,"3,706",78.5,352,7.5,Person,4747263
210,Melanoma of the skin,2014,Persons,WA,"1,300",51.6,152,6.0,Person,2528619
211,Melanoma of the skin,2014,Persons,SA,788,46.7,123,7.3,Person,1693107
212,Melanoma of the skin,2014,Persons,Tas,332,64.6,37,7.2,Person,514040
213,Melanoma of the skin,2014,Persons,ACT,144,38.4,16,4.3,Person,391981
214,Melanoma of the skin,2014,Persons,NT,68,28.6,8,3.3,Person,243201
215,Melanoma of the skin,2014,Persons,Australia,"13,188",56.2,"1,465",6.2,Person,23640331
216,Melanoma of the skin,2015,Males,NSW,"2,581",68.3,386,10.2,Male,3803289
217,Melanoma of the skin,2015,Males,Vic,"1,533",51.5,215,7.2,Male,3011376
218,Melanoma of the skin,2015,Males,Qld,"2,192",92.3,221,9.3,Male,2385347
219,Melanoma of the skin,2015,Males,WA,895,70.1,102,8.0,Male,1278792
220,Melanoma of the skin,2015,Males,SA,471,56.0,74,8.8,Male,843702
221,Melanoma of the skin,2015,Males,Tas,166,65.0,18,7.0,Male,255551
222,Melanoma of the skin,2015,Males,ACT,84,44.0,12,6.1,Male,197696
223,Melanoma of the skin,2015,Males,NT,48,38.4,6,4.9,Male,127914
224,Melanoma of the skin,2015,Males,Australia,"8,004",67.7,"1,039",8.8,Male,11904308
225,Melanoma of the skin,2015,Females,NSW,"1,780",46.4,176,4.6,Female,3868112
226,Melanoma of the skin,2015,Females,Vic,"1,162",38.2,111,3.6,Female,3081673
227,Melanoma of the skin,2015,Females,Qld,"1,561",65.0,97,4.0,Female,2419586
228,Melanoma of the skin,2015,Females,WA,669,52.9,54,4.3,Female,1268953
229,Melanoma of the skin,2015,Females,SA,295,34.3,24,2.8,Female,862235
230,Melanoma of the skin,2015,Females,Tas,136,52.4,5,1.9,Female,260242
231,Melanoma of the skin,2015,Females,ACT,70,36.1,6,3.1,Female,201178
232,Melanoma of the skin,2015,Females,NT,27,23.7,2,n.p.,Female,117123
233,Melanoma of the skin,2015,Females,Australia,"5,714",47.7,475,4.0,Female,12080273
234,Melanoma of the skin,2015,Persons,NSW,"4,361",57.3,562,7.4,Person,7671401
235,Melanoma of the skin,2015,Persons,Vic,"2,695",44.8,326,5.4,Person,6093049
236,Melanoma of the skin,2015,Persons,Qld,"3,753",78.6,318,6.7,Person,4804933
237,Melanoma of the skin,2015,Persons,WA,"1,564",61.6,156,6.1,Person,2547745
238,Melanoma of the skin,2015,Persons,SA,766,45.0,98,5.8,Person,1705937
239,Melanoma of the skin,2015,Persons,Tas,302,58.6,23,4.5,Person,515697
240,Melanoma of the skin,2015,Persons,ACT,153,40.1,18,4.6,Person,398874
241,Melanoma of the skin,2015,Persons,NT,75,31.4,8,3.5,Person,244692
242,Melanoma of the skin,2015,Persons,Australia,"13,718",57.6,"1,514",6.4,Person,23984581
243,Melanoma of the skin,2016,Males,NSW,"2,858",74.5,288,7.5,Male,3865361
244,Melanoma of the skin,2016,Males,Vic,"1,569",51.4,178,5.8,Male,3082379
245,Melanoma of the skin,2016,Males,Qld,"2,331",97.0,213,8.9,Male,2421215
246,Melanoma of the skin,2016,Males,WA,912,71.1,91,7.1,Male,1288303
247,Melanoma of the skin,2016,Males,SA,463,54.7,56,6.6,Male,849914
248,Melanoma of the skin,2016,Males,Tas,185,72.2,23,9.0,Male,258456
249,Melanoma of the skin,2016,Males,ACT,92,47.4,11,5.8,Male,202502
250,Melanoma of the skin,2016,Males,NT,54,42.5,6,4.9,Male,128021
251,Melanoma of the skin,2016,Males,Australia,"8,491",70.7,858,7.1,Male,12098143
252,Melanoma of the skin,2016,Females,NSW,"1,927",49.4,131,3.4,Female,3930264
253,Melanoma of the skin,2016,Females,Vic,"1,251",40.1,85,2.7,Female,3153402
254,Melanoma of the skin,2016,Females,Qld,"1,633",66.9,88,3.6,Female,2461724
255,Melanoma of the skin,2016,Females,WA,624,49.0,36,2.8,Female,1281303
256,Melanoma of the skin,2016,Females,SA,341,39.4,39,4.5,Female,869666
257,Melanoma of the skin,2016,Females,Tas,148,56.6,7,2.7,Female,263525
258,Melanoma of the skin,2016,Females,ACT,75,38.2,7,3.4,Female,206376
259,Melanoma of the skin,2016,Females,NT,28,24.6,2,n.p.,Female,118539
260,Melanoma of the skin,2016,Females,Australia,"6,034",49.5,396,3.2,Female,12286921
261,Melanoma of the skin,2016,Persons,NSW,"4,785",61.9,419,5.4,Person,7795625
262,Melanoma of the skin,2016,Persons,Vic,"2,820",45.7,263,4.3,Person,6235781
263,Melanoma of the skin,2016,Persons,Qld,"3,964",81.8,301,6.2,Person,4882939
264,Melanoma of the skin,2016,Persons,WA,"1,536",60.1,127,5.0,Person,2569606
265,Melanoma of the skin,2016,Persons,SA,804,46.9,95,5.5,Person,1719580
266,Melanoma of the skin,2016,Persons,Tas,333,64.3,30,5.8,Person,521981
267,Melanoma of the skin,2016,Persons,ACT,167,42.8,18,4.6,Person,408878
268,Melanoma of the skin,2016,Persons,NT,82,33.9,8,3.3,Person,246443
269,Melanoma of the skin,2016,Persons,Australia,"14,525",60.0,"1,254",5.2,Person,24385064
270,Melanoma of the skin,2017,Males,NSW,"2,975",76.3,319,8.2,Male,3921301
271,Melanoma of the skin,2017,Males,Vic,"1,673",53.7,162,5.2,Male,3144429
272,Melanoma of the skin,2017,Males,Qld,"2,477",101.4,241,9.9,Male,2458389
